reads,mean,sd,max,perc_compl,sd_upr_perc_compl,sd_lwr_perc_compl,max_perc_compl
1360000,396.83,4.22129043413183,405,41.5964360587002,42.0389193327182,41.1539527846822,42.4528301886792
1370000,397.5,3.35899215283815,405,41.6666666666667,42.0187622801717,41.3145710531616,42.4528301886792
1380000,397.7,4.01386485959743,407,41.6876310272537,42.1083715785742,41.2668904759332,42.6624737945493
1390000,398.41,4.3741550410602,409,41.7620545073375,42.2205613250587,41.3035476896163,42.8721174004193
1400000,397.96,3.67057642791038,407,41.7148846960168,42.0996411350011,41.3301282570325,42.6624737945493
1410000,398.67,4.16831482554383,409,41.7893081761006,42.2262384513149,41.3523779008864,42.8721174004193
1420000,398.93,4.21937570182264,412,41.8165618448637,42.258844413189,41.3742792765385,43.1865828092243
1430000,399.03,3.66378674779706,407,41.8270440251572,42.2110887576307,41.4429992926837,42.6624737945493
1440000,399.27,3.58688689196601,408,41.8522012578616,42.2281852088015,41.4762173069218,42.7672955974843
1450000,399.54,3.86232776413082,409,41.8805031446541,42.2853593044162,41.4756469848919,42.8721174004193
1460000,399.85,3.60520106893842,410,41.9129979035639,42.2909015795533,41.5350942275746,42.9769392033543
1470000,400.63,3.9380428918667,409,41.9947589098532,42.4075516658141,41.5819661538924,42.8721174004193
1480000,400.62,4.08935548501574,409,41.9937106918239,42.4223643066054,41.5650570770424,42.8721174004193
1490000,400.35,3.86482453506866,410,41.9654088050315,42.3705266808248,41.5602909292381,42.9769392033543
1500000,401.47,3.63888927442361,408,42.0828092243187,42.4642441587446,41.7013742898927,42.7672955974843
1510000,400.95,3.96799061175168,411,42.0283018867924,42.4442338167455,41.6123699568394,43.0817610062893
1520000,402.43,3.60766580010573,409,42.1834381551363,42.5616001886903,41.8052761215822,42.8721174004193
1530000,401.53,4.11318402557955,410,42.0890985324948,42.5202498978595,41.65794716713,42.9769392033543
1540000,402.45,4.09822578019496,411,42.185534591195,42.6151180063097,41.7559511760802,43.0817610062893
1550000,402.02,3.72265789701146,409,42.1404612159329,42.5306769284079,41.7502455034579,42.8721174004193
1560000,403.02,3.71722716252017,411,42.2452830188679,42.6349294719623,41.8556365657736,43.0817610062893
1570000,402.7,3.61114996094098,411,42.2117400419287,42.5902672915032,41.8332127923542,43.0817610062893
1580000,402.91,3.47311463279363,411,42.2337526205451,42.5978107581545,41.8696944829357,43.0817610062893
1590000,402.8,3.93892771133865,414,42.2222222222222,42.6351077265554,41.809336717889,43.3962264150943
1600000,403.23,3.41078207211108,412,42.2672955974843,42.6248199237014,41.9097712712672,43.1865828092243
1610000,403.59,3.50496040986877,412,42.3050314465409,42.6724277159192,41.9376351771626,43.1865828092243
1620000,403.37,3.40426055098459,411,42.2819706498952,42.6388113785099,41.9251299212804,43.0817610062893
